                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3207,                 3.8122,                 4.0082,                 0.0024,                0.34384,                0.01117,                0.00356,                 2.9221,                 4.8691,                  3.885,             0.00054712,             0.00054712,             0.00054712
                      2,                 2.7743,                 3.1136,                 3.3992,                0.52656,                0.02985,                0.01024,                0.00276,                 3.0283,                  5.223,                 4.2461,              0.0010809,              0.0010809,              0.0010809
                      3,                 2.3366,                 2.6656,                 2.8844,                0.23253,                0.30746,                0.18682,                0.07303,                 1.9466,                 16.427,                 2.7628,              0.0015928,              0.0015928,              0.0015928
                      4,                 2.2203,                 2.4718,                 2.7213,                0.40514,                0.40572,                0.33244,                0.14053,                 1.9365,                 3.7347,                  2.691,               0.001568,               0.001568,               0.001568
                      5,                 2.1156,                 2.2758,                 2.5804,                0.53294,                0.48297,                0.48374,                0.21546,                 1.6653,                 3.9548,                 2.3312,               0.001568,               0.001568,               0.001568
                      6,                 1.9771,                 2.0329,                 2.4026,                0.35214,                 0.6665,                0.45919,                0.22722,                 1.6338,                 2.5375,                 2.2275,               0.001535,               0.001535,               0.001535
                      7,                 1.8813,                 1.9518,                 2.3038,                0.55248,                0.46085,                0.48978,                0.27168,                 1.5889,                  2.994,                 2.2095,               0.001502,               0.001502,               0.001502
                      8,                 1.7446,                 1.8089,                 2.1757,                0.66391,                0.58545,                0.66364,                0.33654,                 1.5858,                 1.8603,                 2.1231,               0.001469,               0.001469,               0.001469
                      9,                 1.6717,                 1.6704,                 2.0823,                0.57844,                0.69153,                 0.6696,                0.36438,                 1.4933,                  1.738,                  2.049,               0.001436,               0.001436,               0.001436
                     10,                 1.6246,                 1.5959,                 2.0152,                0.68799,                0.68794,                0.72169,                0.43535,                 1.3601,                 1.3747,                 1.9083,              0.0014029,              0.0014029,              0.0014029
                     11,                 1.5583,                 1.5117,                 1.9724,                0.71034,                0.59394,                0.70065,                0.42447,                 1.3312,                 1.4345,                 1.8008,              0.0013699,              0.0013699,              0.0013699
                     12,                 1.5362,                  1.398,                 1.9033,                0.79826,                0.73277,                0.81422,                0.48239,                 1.3299,                 1.6781,                 1.7861,              0.0013369,              0.0013369,              0.0013369
                     13,                 1.5058,                 1.3945,                 1.8737,                 0.8102,                0.75404,                0.84275,                0.50575,                 1.3711,                 1.1879,                 1.8409,              0.0013039,              0.0013039,              0.0013039
                     14,                 1.4947,                 1.3296,                  1.851,                0.72902,                0.77215,                 0.8091,                0.50203,                 1.2847,                 1.1244,                 1.7431,              0.0012709,              0.0012709,              0.0012709
                     15,                 1.4643,                 1.2844,                 1.8316,                0.79652,                0.76297,                0.83548,                0.52267,                 1.2182,                 1.1919,                 1.6663,              0.0012379,              0.0012379,              0.0012379
                     16,                 1.4299,                 1.2051,                 1.7938,                0.86577,                0.76667,                 0.8763,                0.55752,                 1.2693,                 1.0454,                 1.6615,              0.0012049,              0.0012049,              0.0012049
                     17,                 1.4059,                 1.1946,                 1.7666,                 0.8052,                0.77896,                0.86426,                0.53272,                 1.3002,                 1.1688,                 1.7006,              0.0011719,              0.0011719,              0.0011719
                     18,                 1.4164,                   1.16,                 1.7604,                0.78016,                0.78523,                0.87889,                0.56625,                 1.2578,                 1.0582,                 1.6623,              0.0011389,              0.0011389,              0.0011389
                     19,                 1.4041,                 1.1294,                 1.7474,                0.81251,                0.81157,                0.87955,                 0.5479,                 1.2598,                 1.3354,                  1.681,              0.0011059,              0.0011059,              0.0011059
                     20,                 1.3534,                  1.109,                 1.7106,                0.84615,                 0.8666,                0.92744,                0.61589,                 1.1779,                0.96078,                 1.6035,              0.0010729,              0.0010729,              0.0010729
                     21,                 1.3225,                 1.0769,                   1.68,                0.87746,                0.85307,                0.92023,                0.60512,                 1.1618,                0.95317,                 1.6078,              0.0010399,              0.0010399,              0.0010399
                     22,                 1.2921,                 1.0294,                 1.6666,                0.85703,                0.87466,                0.91763,                0.61151,                 1.1633,                0.88356,                 1.5934,              0.0010069,              0.0010069,              0.0010069
                     23,                  1.286,                 1.0311,                 1.6633,                0.83318,                0.78782,                0.87514,                0.58635,                 1.1679,                0.94384,                 1.5964,             0.00097386,             0.00097386,             0.00097386
                     24,                 1.2903,                0.97115,                 1.6535,                0.88081,                0.88144,                0.94234,                0.60554,                 1.1991,                0.93097,                 1.6186,             0.00094085,             0.00094085,             0.00094085
                     25,                 1.2555,                0.96472,                 1.6354,                0.88712,                0.87122,                0.93399,                0.62977,                 1.1562,                0.78905,                 1.5365,             0.00090785,             0.00090785,             0.00090785
                     26,                  1.278,                0.95824,                 1.6312,                0.89152,                 0.8627,                0.93015,                 0.6158,                 1.1481,                0.85438,                 1.5627,             0.00087484,             0.00087484,             0.00087484
                     27,                 1.2341,                0.92876,                 1.5969,                0.87762,                0.84059,                0.93209,                0.62479,                 1.1581,                0.81929,                 1.5322,             0.00084184,             0.00084184,             0.00084184
                     28,                  1.219,                0.88713,                 1.5758,                0.92401,                 0.8378,                0.93863,                0.65119,                 1.1121,                 0.7631,                 1.5154,             0.00080883,             0.00080883,             0.00080883
                     29,                 1.2177,                 0.8769,                 1.5774,                0.86225,                0.89876,                0.93004,                0.61454,                 1.1668,                 1.0042,                 1.5693,             0.00077582,             0.00077582,             0.00077582
                     30,                   1.22,                0.87412,                 1.5829,                0.88381,                0.90984,                0.94817,                0.63762,                 1.1314,                0.73528,                 1.5068,             0.00074282,             0.00074282,             0.00074282
                     31,                 1.2286,                0.86977,                 1.5967,                0.86941,                0.88402,                0.93779,                0.65265,                 1.1155,                 0.7204,                 1.4974,             0.00070981,             0.00070981,             0.00070981
                     32,                 1.1968,                0.86019,                 1.5707,                0.90352,                0.86573,                0.92509,                0.64215,                 1.0968,                0.76995,                   1.51,              0.0006768,              0.0006768,              0.0006768
                     33,                   1.16,                0.84595,                 1.5611,                0.91851,                0.87425,                0.94333,                0.65491,                 1.1223,                0.71861,                 1.5034,              0.0006438,              0.0006438,              0.0006438
                     34,                 1.1759,                0.82695,                 1.5523,                0.90762,                 0.9005,                0.94995,                0.66466,                 1.0849,                  0.713,                 1.4804,             0.00061079,             0.00061079,             0.00061079
                     35,                 1.1746,                 0.8023,                 1.5536,                 0.9316,                0.89641,                0.96258,                0.67429,                 1.0822,                0.65803,                 1.4862,             0.00057778,             0.00057778,             0.00057778
                     36,                 1.1649,                0.79707,                 1.5448,                 0.9091,                0.88345,                 0.9567,                0.66417,                 1.0895,                0.66649,                 1.5009,             0.00054478,             0.00054478,             0.00054478
                     37,                 1.1522,                0.79211,                 1.5315,                 0.8845,                0.91481,                0.95869,                0.68105,                 1.0988,                0.64743,                  1.472,             0.00051177,             0.00051177,             0.00051177
                     38,                 1.1373,                0.78108,                 1.5246,                0.91732,                 0.9167,                0.96368,                0.69018,                 1.0592,                0.61617,                 1.4501,             0.00047876,             0.00047876,             0.00047876
                     39,                 1.1795,                0.80064,                 1.5407,                0.89949,                0.90005,                0.95712,                0.65634,                 1.1175,                0.67585,                 1.5133,             0.00044576,             0.00044576,             0.00044576
                     40,                 1.1208,                  0.752,                 1.5148,                0.86967,                 0.9337,                0.95903,                 0.6868,                 1.0509,                0.67664,                 1.4521,             0.00041275,             0.00041275,             0.00041275
                     41,                 1.0414,                0.63188,                 1.4668,                0.89593,                0.90026,                0.95473,                0.67384,                 1.0673,                 0.7218,                 1.4612,             0.00037974,             0.00037974,             0.00037974
                     42,                 1.0398,                0.62863,                 1.4337,                0.89944,                0.92979,                0.96697,                0.67861,                 1.0557,                0.65958,                 1.4456,             0.00034674,             0.00034674,             0.00034674
                     43,                 1.0386,                0.62451,                 1.4378,                0.93383,                0.92323,                0.96944,                0.70551,                 1.0421,                0.59966,                 1.4414,             0.00031373,             0.00031373,             0.00031373
                     44,                  1.017,                 0.6034,                 1.4324,                 0.9281,                0.93395,                0.97254,                0.70107,                 1.0578,                0.60662,                 1.4369,             0.00028072,             0.00028072,             0.00028072
                     45,                 1.0035,                0.57828,                 1.4088,                0.90969,                0.93582,                0.96792,                0.70337,                 1.0395,                0.59304,                 1.4474,             0.00024772,             0.00024772,             0.00024772
                     46,                0.99454,                0.56531,                 1.4158,                0.92635,                0.92826,                 0.9641,                0.70314,                 1.0256,                0.59377,                 1.4228,             0.00021471,             0.00021471,             0.00021471
                     47,                0.97412,                0.55188,                 1.3938,                0.92263,                0.93209,                0.96633,                0.70508,                 1.0257,                0.58179,                 1.4276,              0.0001817,              0.0001817,              0.0001817
                     48,                0.96894,                 0.5424,                 1.3803,                0.91028,                0.93481,                0.96628,                0.70583,                 1.0161,                0.61111,                 1.4163,              0.0001487,              0.0001487,              0.0001487
                     49,                0.95558,                0.53616,                 1.3769,                 0.9129,                 0.9354,                0.96563,                0.70842,                  1.016,                0.57424,                  1.416,             0.00011569,             0.00011569,             0.00011569
                     50,                0.95541,                0.52691,                 1.3721,                0.90818,                0.94416,                0.96688,                0.70807,                0.99866,                0.57265,                 1.4147,             8.2683e-05,             8.2683e-05,             8.2683e-05
